Player,Conference,Team,Age,Pos,PPG,RPG,APG
Donovan Clingan,West,POR,20,C,6.5,7.9,1.1
Isaiah Stewart,East,DET,23,C,6,5.5,1.7
Noah Clowney,East,BRK,20,PF,9.1,3.9,0.9
Jamison Battle,East,TOR,23,SF,7.1,2.7,0.9
Jeremiah Robinson-Earl,West,NOP,24,PF,6.3,4.8,1.3
Vit Krejci,East,ATL,24,PG,7.2,2.7,2.6
Trayce Jackson-Davis,West,GSW,24,C,6.6,5,1.7
Moussa Diabat�,East,CHO,23,C,5.7,6.2,0.8
Gary Payton II,West,GSW,32,SG,6.5,3,1.3
Brandon Ingram,West,NOP,27,SF,22.2,5.6,5.2
Day'Ron Sharpe,East,BRK,23,C,7.9,6.6,1.8
Jonathan Mogbo,East,TOR,23,PF,6.2,4.9,2.3
Moritz Wagner,East,ORL,27,C,12.9,4.9,1.4
Sandro Mamukelashvili,West,SAS,25,PF,6.3,3.1,0.8
Jaxson Hayes,West,LAL,24,C,6.8,4.8,1
Alex Caruso,West,OKC,30,SG,7.1,2.9,2.5
Jonathan Isaac,East,ORL,27,PF,5.4,4.4,0.6
Talen Horton-Tucker,East,CHI,24,SG,6.5,1.7,1.4
Precious Achiuwa,East,NYK,25,C,6.7,5.6,1
Marcus Sasser,East,DET,24,PG,6.6,1.2,2.3
Julian Phillips,East,CHI,21,SF,4.6,2.1,0.5
Alec Burks,East,MIA,33,SG,7.3,2.5,1.1
Tidjane Sala�n,East,CHO,19,PF,5.9,4.7,1.2
Garrison Mathews,East,ATL,28,SG,7.5,1.9,1.3
Jared McCain,East,PHI,20,SG,15.3,2.4,2.6
Ryan Rollins,East,MIL,22,PG,6.2,1.9,1.9
Kevon Looney,West,GSW,28,C,4.5,6.1,1.6
Aaron Holiday,West,HOU,28,PG,5.5,1.3,1.3
Quinten Post,West,GSW,24,PF,8.1,3.5,1.3
Adem Bona,East,PHI,21,C,5.8,4.2,0.5
Isaac Okoro,East,CLE,24,SG,6.1,2.4,1.2
Svi Mykhailiuk,West,UTA,27,SF,8.8,2.4,2
Mason Plumlee,West,PHO,34,C,4.5,6.1,1.8
Ben Sheppard,East,IND,23,SG,5.3,2.8,1.3
