Player,Age,Conference,Team,Position,RecYds,RushYds,TDs
Garrett Wilson,24,AFC,NYJ,WR,1104,5,7
George Kittle,31,NFC,SFO,TE,1106,0,8
Terry McLaurin,29,NFC,WAS,WR,1096,2,13
Courtland Sutton,29,AFC,DEN,WR,1081,0,8
A.J. Brown,27,NFC,PHI,WR,1079,0,7
Calvin Ridley,30,AFC,TEN,WR,1017,55,5
Davante Adams,32,AFC,NYJ,WR,1063,0,8
Jameson Williams,23,NFC,DET,WR,1001,61,8
J.K. Dobbins,26,AFC,LAC,RB,153,905,9
Jakobi Meyers,28,AFC,LVR,WR,1027,23,4
D.J. Moore,27,NFC,CHI,WR,966,75,6
Puka Nacua,23,NFC,LAR,WR,990,46,4
Jayden Reed,24,NFC,GNB,WR,857,163,7
Tyreek Hill,30,AFC,MIA,WR,959,53,6
Nico Collins,25,AFC,HOU,WR,1006,0,7
Rachaad White,25,NFC,TAM,RB,393,613,9
Mike Evans,31,NFC,TAM,WR,1004,0,11
D.K. Metcalf,27,NFC,SEA,WR,992,0,5
Darnell Mooney,27,NFC,ATL,WR,992,0,5
Jauan Jennings,27,NFC,SFO,WR,975,0,6
Rhamondre Stevenson,26,AFC,NWE,RB,168,801,8
Brian Robinson Jr.,25,NFC,WAS,RB,159,799,8
Lamar Jackson,27,AFC,BAL,QB,0,915,4
Tee Higgins,25,AFC,CIN,WR,911,0,10
Zach Charbonnet,23,NFC,SEA,RB,340,569,9
Kareem Hunt,29,AFC,KAN,RB,176,728,7
Jordan Addison,22,NFC,MIN,WR,875,20,10
George Pickens,23,AFC,PIT,WR,900,-6,3
Jayden Daniels,24,NFC,WAS,QB,0,891,6
Marvin Harrison Jr.,22,NFC,ARI,WR,885,0,8
Jonnu Smith,29,AFC,MIA,TE,884,-1,8
Jordan Mason,25,NFC,SFO,RB,91,789,3
Kenneth Walker III,24,NFC,SEA,RB,299,573,8
Javonte Williams,24,AFC,DEN,RB,346,513,4
DeVonta Smith,26,NFC,PHI,WR,833,1,8
Khalil Shakir,24,AFC,BUF,WR,821,4,4
Travis Kelce,35,AFC,KAN,TE,823,1,3
Alec Pierce,24,AFC,IND,WR,824,0,7
Jaylen Warren,26,AFC,PIT,RB,310,511,1
Tank Bigsby,23,AFC,JAX,RB,54,766,7
Josh Downs,23,AFC,IND,WR,803,12,5
Travis Etienne,25,AFC,JAX,RB,254,558,2
Michael Pittman Jr.,27,AFC,IND,WR,808,0,3
Deebo Samuel,28,NFC,SFO,WR,670,136,4
Jerome Ford,25,AFC,CLE,RB,225,565,3
Ray-Ray McCloud,28,NFC,ATL,WR,686,79,1
